"Step number","Step name","Elapsed Time  (s)","DC Working Electrode (V)","DC Current (mA)","Frequency (Hz)","|Z| (Ohms)","Phase (deg)","Z' (Ohms)","-Z"" (Ohms)","THD (%)","Amplitude (mV/mA)","No of Cycles","Duration of Each Frequency (s)"
1_1,Potentiostatic EIS,1.79230267,-0.0002573272607,0.002423331218,995000,98.50544242,0.8895041687,98.49357184,-1.529213543,17.92669152,7.30613541,304,0.0003055276382
1_1,Potentiostatic EIS,3.08994343,-0.0003682697655,0.000906585815,634999.9375,100.0019326,1.37868657,99.97298292,-2.406076296,1.347331915,9.584136973,196,0.0003086614477
1_1,Potentiostatic EIS,3.50568095,-0.0004056639852,0.0009858077564,398107.1563,99.45630253,0.4161953888,99.45367862,-0.7224422258,0.559815746,10.37431568,228,0.000572710127
1_1,Potentiostatic EIS,3.90523269,-0.0003642838716,0.0002995914726,251188.5938,99.89724325,-0.09789610572,99.89709743,0.1706852828,0.2223530196,10.27582151,199,0.0007922334252
1_1,Potentiostatic EIS,4.08480808,-0.0002833552231,0.0002789252659,158489.3125,99.93815636,-0.5209237843,99.93402587,0.9086087287,0.2181901643,10.12595592,195,0.001230366874
1_1,Potentiostatic EIS,4.33828387,-0.0003746070955,0.0002718220023,99999.92188,99.97808886,-0.8213245362,99.96781694,1.433118564,0.2247005327,10.10216056,203,0.002030001586
1_1,Potentiostatic EIS,4.71870579,-0.0004060952299,0.0002727754605,63095.70703,100.0458921,-1.369394321,100.0173188,2.390913166,0.2295022687,10.2108767,207,0.003280730334
1_1,Potentiostatic EIS,5.30059872,-0.0004018554642,0.000283954758,39810.6875,100.1406275,-2.248496595,100.0635259,3.928876985,0.2357551334,10.59690536,203,0.005099133242
1_1,Potentiostatic EIS,7.71262568,-0.0003117179434,-2.327740761e-05,25118.79492,100.2995472,-3.64726177,100.0964,6.380429707,0.4234582138,8.098488729,204,0.008121408715
1_1,Potentiostatic EIS,9.80122102,-0.0003581568044,0.0002565888913,15848.875,100.599772,-5.716419486,100.0994961,10.02023052,0.2384179754,10.88368881,204,0.01287157606
1_1,Potentiostatic EIS,13.03278997,-0.000294865441,-0.000190452508,9999.983398,101.2751927,-9.045927868,100.0155953,15.92310746,0.08205555239,7.918560426,205,0.02050003403
1_1,Potentiostatic EIS,16.10881899,-0.0002675189968,-0.0001740742459,6309.570801,103.2270466,-14.18766629,100.078429,25.30081428,0.09187291335,10.97276512,133,0.02107908829
1_1,Potentiostatic EIS,20.44798594,-0.0002276534094,-0.0001727599775,3981.054688,107.9866572,-21.89613732,100.1966506,40.27094899,0.05923344581,10.85110102,81,0.02034636707
1_1,Potentiostatic EIS,25.98284102,-0.000214229219,-0.0001709861277,2511.881836,119.0876414,-32.4370329,100.5077566,63.87532531,0.1271437863,10.94792341,50,0.01990539495
1_1,Potentiostatic EIS,26.62516313,-0.0002032968767,-0.0001683725855,1584.889893,143.2397377,-45.05628697,101.1862386,101.3852434,0.09593190582,11.99696458,649,0.4094921692
1_1,Potentiostatic EIS,27.17258144,-0.0002102507264,-1.826791779e-05,999.9959717,190.8420365,-57.37890686,102.8792954,160.7374676,0.06412600594,10.02074928,409,0.4090016476
1_1,Potentiostatic EIS,27.6468025,-0.0002089020796,-1.800158552e-05,630.9564819,276.3741227,-67.25301285,106.8635004,254.8781042,0.1027726071,9.8020768,257,0.4073181073
1_1,Potentiostatic EIS,28.17705406,-0.000217292821,-3.245066336e-05,398.1054688,420.1155679,-73.87409357,116.6866972,403.585561,0.1280474316,9.538691013,162,0.4069273414
